layer,v_source_v_target_geo_risk_hallucination_mean,v_source_v_target_geo_risk_hallucination_sem,v_source_v_target_geo_risk_non_hallucination_mean,v_source_v_target_geo_risk_non_hallucination_sem,v_source_v_target_geo_risk_diff_h_minus_non
0,0.25558645,0.00274811,0.26428142,0.00267791,-0.00869498
1,0.43496341,0.00414355,0.42833322,0.00389086,0.00663018
2,0.55165303,0.00549702,0.57064658,0.00561212,-0.01899356
3,0.60853028,0.00671772,0.60143727,0.00677115,0.00709301
4,0.56276113,0.00516964,0.55752629,0.00547741,0.00523484
5,0.53000242,0.00502502,0.51847243,0.00519820,0.01152998
6,0.50534940,0.00518975,0.48928168,0.00515073,0.01606771
7,0.46014109,0.00562340,0.43475869,0.00508242,0.02538240
8,0.46798974,0.00505721,0.46869934,0.00431047,-0.00070959
9,0.47830963,0.00496652,0.47262383,0.00478664,0.00568581
10,0.48399770,0.00533609,0.47385386,0.00484300,0.01014385
11,0.45271417,0.00396587,0.45916429,0.00353639,-0.00645012
12,0.48288214,0.00473859,0.48607245,0.00432323,-0.00319031
13,0.51446277,0.00533884,0.49583209,0.00529242,0.01863068
14,0.45111039,0.00460300,0.43318376,0.00420702,0.01792663
15,0.46766686,0.00440318,0.43261841,0.00421440,0.03504845
16,0.43126193,0.00442344,0.41891319,0.00413160,0.01234874
17,0.48137206,0.00425469,0.44655448,0.00412801,0.03481758
18,0.51223451,0.00491173,0.45288742,0.00464108,0.05934709
19,0.45482397,0.00455503,0.41655520,0.00432851,0.03826877
20,0.39905041,0.00514373,0.34337512,0.00445575,0.05567530
21,0.41674483,0.00477514,0.34233370,0.00442150,0.07441112
22,0.42627373,0.00576895,0.33940679,0.00460803,0.08686695
23,0.47283524,0.00533430,0.41632244,0.00471857,0.05651280
24,0.37393072,0.00483450,0.30873933,0.00421629,0.06519139
25,0.53672945,0.00453523,0.50996274,0.00408711,0.02676672
26,0.47231489,0.00556610,0.40032229,0.00485963,0.07199261
27,0.55903888,0.00391150,0.54076236,0.00394001,0.01827651
28,0.52411699,0.00435642,0.48918143,0.00406155,0.03493556
29,0.49536580,0.00589112,0.43070406,0.00538857,0.06466174
30,0.55979764,0.00409617,0.51142818,0.00392468,0.04836947
31,0.47545266,0.00436319,0.46906248,0.00429948,0.00639018
