model,model_display,variant_id,variant,vv_auc,vp_auc,delta_auc_vv_minus_vp,vv_aupr,vp_aupr,delta_aupr_vv_minus_vp,vv_f1,vp_f1,delta_f1_vv_minus_vp,vv_accuracy,vp_accuracy,delta_accuracy_vv_minus_vp
qwen2_5_vl_7b,Qwen2.5-VL-7B,risk_raw,risk only / raw,0.9086177680948923,0.877753570564028,0.030864197530864224,0.96713105724147,0.9457948609935627,0.02133619624790728,0.898360655737705,0.9022082018927445,-0.0038475461550395718,0.8502415458937198,0.8502415458937198,0.0
qwen2_5_vl_7b,Qwen2.5-VL-7B,risk_cap085,risk only / cap085,0.8937303316388284,0.8618978455579762,0.03183248608085221,0.9635781901049569,0.936500656188703,0.027077533916253893,0.879746835443038,0.9028213166144201,-0.02307448117138211,0.8164251207729468,0.8502415458937198,-0.033816425120772986
qwen2_5_vl_7b,Qwen2.5-VL-7B,risk_cos_raw,risk + cosine / raw,0.9452916969256839,0.9229000242072138,0.02239167271847009,0.9798934295061239,0.9656449485438778,0.014248480962246068,0.9320388349514563,0.9196141479099679,0.01242468704148847,0.8985507246376812,0.8792270531400966,0.019323671497584516
qwen2_5_vl_7b,Qwen2.5-VL-7B,risk_cos_cap085,risk + cosine / cap085,0.9521907528443476,0.9189058339385137,0.03328491890583396,0.98367488161417,0.9632435236335656,0.02043135798060447,0.9285714285714286,0.9201277955271565,0.008443633044272092,0.893719806763285,0.8792270531400966,0.01449275362318836
internvl_2_5_8b,InternVL2.5-8B,risk_raw,risk only / raw,0.8399640307373699,0.9374625320180936,-0.09749850128072368,0.9578771873990877,0.9866346200947912,-0.028757432695703522,0.9249617151607963,0.9603803486529319,-0.03541863349213559,0.8675675675675676,0.9324324324324325,-0.06486486486486487
internvl_2_5_8b,InternVL2.5-8B,risk_cap085,risk only / cap085,0.8480298653877595,0.9414954493432884,-0.09346558395552895,0.9614412746997046,0.9874159038032738,-0.02597462910356918,0.9278033794162827,0.9606299212598425,-0.03282654184355982,0.8729729729729729,0.9324324324324325,-0.05945945945945952
internvl_2_5_8b,InternVL2.5-8B,risk_cos_raw,risk + cosine / raw,0.9416044471088343,0.95185023707014,-0.010245789961305762,0.9824232277941829,0.9870202085451014,-0.004596980750918522,0.9443561208267091,0.9650793650793651,-0.020723244252656037,0.9054054054054054,0.9405405405405406,-0.03513513513513522
internvl_2_5_8b,InternVL2.5-8B,risk_cos_cap085,risk + cosine / cap085,0.935555071121042,0.938934001852962,-0.0033789307319200823,0.9812241576977507,0.9832974317123953,-0.0020732740146445217,0.9475357710651828,0.9651898734177216,-0.017654102352538725,0.9108108108108108,0.9405405405405406,-0.02972972972972976
llava_1_5_7b,LLaVA-1.5-7B,risk_raw,risk only / raw,0.7619607843137255,0.7809803921568628,-0.019019607843137276,0.7175674626846715,0.7590668250892975,-0.04149936240462593,0.6853146853146853,0.7014925373134329,-0.01617785199874755,0.6853146853146853,0.7202797202797203,-0.034965034965035
llava_1_5_7b,LLaVA-1.5-7B,risk_cap085,risk only / cap085,0.7737254901960784,0.7633333333333333,0.010392156862745083,0.7326735520004322,0.7111536100030394,0.02151994199739271,0.6896551724137931,0.7105263157894737,-0.020871143375680523,0.6853146853146853,0.6923076923076923,-0.006993006993006978
llava_1_5_7b,LLaVA-1.5-7B,risk_cos_raw,risk + cosine / raw,0.8272549019607844,0.843921568627451,-0.016666666666666607,0.7820425758633471,0.8440740224176079,-0.06203144655426074,0.7132867132867133,0.7692307692307693,-0.05594405594405594,0.7132867132867133,0.7692307692307693,-0.05594405594405594
llava_1_5_7b,LLaVA-1.5-7B,risk_cos_cap085,risk + cosine / cap085,0.8168627450980392,0.8296078431372549,-0.012745098039215641,0.7823822609605587,0.8136391027227579,-0.03125684176219912,0.75,0.7397260273972602,0.010273972602739767,0.7482517482517482,0.7342657342657343,0.013986013986013957
