model,family,branch,capped,cost,feature_set,precision,recall,f1,accuracy,auc,num_features
qwen2_5_vl_7b,visual_risk_raw,risk_relative_vll,0,geo,risk_relative_vll_cost_geo,0.8827160493827161,0.934640522875817,0.9079365079365079,0.8599033816425121,0.8921568627450981,28
qwen2_5_vl_7b,visual_risk_raw,risk_relative_vll,0,tbar,risk_relative_vll_cost_tbar,0.8924050632911392,0.9215686274509803,0.9067524115755627,0.8599033816425121,0.8953038005325586,28
qwen2_5_vl_7b,visual_risk_raw,risk_relative_vll,0,sbar,risk_relative_vll_cost_sbar,0.8571428571428571,0.9411764705882353,0.897196261682243,0.8405797101449275,0.8704914064391188,28
qwen2_5_vl_7b,visual_risk_cap085,risk_relative_vll,1,geo,risk_relative_vll_cost_geo_capped_topmass_085,0.8773006134969326,0.934640522875817,0.9050632911392406,0.855072463768116,0.8976034858387799,28
qwen2_5_vl_7b,visual_risk_cap085,risk_relative_vll,1,tbar,risk_relative_vll_cost_tbar_capped_topmass_085,0.8727272727272727,0.9411764705882353,0.9056603773584906,0.855072463768116,0.8662551440329217,28
qwen2_5_vl_7b,visual_risk_cap085,risk_relative_vll,1,sbar,risk_relative_vll_cost_sbar_capped_topmass_085,0.8505747126436781,0.9673202614379085,0.9051987767584098,0.8502415458937198,0.8597191963205034,28
qwen2_5_vl_7b,vp_risk_raw,risk_visual_prompt_relative_vll,0,geo,risk_visual_prompt_relative_vll_cost_geo,0.9215686274509803,0.9215686274509803,0.9215686274509803,0.8840579710144928,0.9264100702009199,28
qwen2_5_vl_7b,vp_risk_raw,risk_visual_prompt_relative_vll,0,tbar,risk_visual_prompt_relative_vll_cost_tbar,0.9205298013245033,0.9084967320261438,0.9144736842105263,0.8743961352657005,0.9216896635197289,28
qwen2_5_vl_7b,vp_risk_raw,risk_visual_prompt_relative_vll,0,sbar,risk_visual_prompt_relative_vll_cost_sbar,0.8588235294117647,0.954248366013072,0.9040247678018576,0.8502415458937198,0.8813846526264828,28
qwen2_5_vl_7b,vp_risk_cap085,risk_visual_prompt_relative_vll,1,geo,risk_visual_prompt_relative_vll_cost_geo_capped_topmass_085,0.9006211180124224,0.9477124183006536,0.9235668789808917,0.8840579710144928,0.9158799322198015,28
qwen2_5_vl_7b,vp_risk_cap085,risk_visual_prompt_relative_vll,1,tbar,risk_visual_prompt_relative_vll_cost_tbar_capped_topmass_085,0.8944099378881988,0.9411764705882353,0.9171974522292994,0.8743961352657005,0.9236262406197047,28
qwen2_5_vl_7b,vp_risk_cap085,risk_visual_prompt_relative_vll,1,sbar,risk_visual_prompt_relative_vll_cost_sbar_capped_topmass_085,0.8390804597701149,0.954248366013072,0.8929663608562691,0.8309178743961353,0.8877995642701525,28
qwen2_5_vl_7b,visual_combo_raw,risk_relative_vll,0,geo,risk_relative_vll_cost_geo+target_visual_hidden_cosine_relative_vll,0.9079754601226994,0.9673202614379085,0.9367088607594937,0.9033816425120773,0.9325829097070927,56
qwen2_5_vl_7b,visual_combo_raw,risk_relative_vll,0,tbar,risk_relative_vll_cost_tbar+target_visual_hidden_cosine_relative_vll,0.91875,0.9607843137254902,0.939297124600639,0.9082125603864735,0.938876785282014,56
qwen2_5_vl_7b,visual_combo_raw,risk_relative_vll,0,sbar,risk_relative_vll_cost_sbar+target_visual_hidden_cosine_relative_vll,0.8944099378881988,0.9411764705882353,0.9171974522292994,0.8743961352657005,0.9172113289760349,56
qwen2_5_vl_7b,visual_combo_cap085,risk_relative_vll,1,geo,risk_relative_vll_cost_geo_capped_topmass_085+target_visual_hidden_cosine_relative_vll_capped_topmass_085,0.9012345679012346,0.954248366013072,0.926984126984127,0.8888888888888888,0.9253207455821835,56
qwen2_5_vl_7b,visual_combo_cap085,risk_relative_vll,1,tbar,risk_relative_vll_cost_tbar_capped_topmass_085+target_visual_hidden_cosine_relative_vll_capped_topmass_085,0.8950617283950617,0.9477124183006536,0.9206349206349206,0.8792270531400966,0.9158799322198016,56
qwen2_5_vl_7b,visual_combo_cap085,risk_relative_vll,1,sbar,risk_relative_vll_cost_sbar_capped_topmass_085+target_visual_hidden_cosine_relative_vll_capped_topmass_085,0.8888888888888888,0.9411764705882353,0.9142857142857143,0.8695652173913043,0.9123698862260955,56
qwen2_5_vl_7b,vp_combo_raw,risk_visual_prompt_relative_vll,0,geo,risk_visual_prompt_relative_vll_cost_geo+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll,0.9125,0.954248366013072,0.9329073482428115,0.8985507246376812,0.9457758412006778,56
qwen2_5_vl_7b,vp_combo_raw,risk_visual_prompt_relative_vll,0,tbar,risk_visual_prompt_relative_vll_cost_tbar+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll,0.9074074074074074,0.9607843137254902,0.9333333333333333,0.8985507246376812,0.9462599854756718,56
qwen2_5_vl_7b,vp_combo_raw,risk_visual_prompt_relative_vll,0,sbar,risk_visual_prompt_relative_vll_cost_sbar+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll,0.9074074074074074,0.9607843137254902,0.9333333333333333,0.8985507246376812,0.9265311062696684,56
qwen2_5_vl_7b,vp_combo_cap085,risk_visual_prompt_relative_vll,1,geo,risk_visual_prompt_relative_vll_cost_geo_capped_topmass_085+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll_capped_topmass_085,0.906832298136646,0.954248366013072,0.9299363057324841,0.893719806763285,0.9399661099007505,56
qwen2_5_vl_7b,vp_combo_cap085,risk_visual_prompt_relative_vll,1,tbar,risk_visual_prompt_relative_vll_cost_tbar_capped_topmass_085+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll_capped_topmass_085,0.9119496855345912,0.9477124183006536,0.9294871794871795,0.893719806763285,0.9471072379569111,56
qwen2_5_vl_7b,vp_combo_cap085,risk_visual_prompt_relative_vll,1,sbar,risk_visual_prompt_relative_vll_cost_sbar_capped_topmass_085+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll_capped_topmass_085,0.8802395209580839,0.9607843137254902,0.91875,0.8743961352657005,0.9221738077947228,56
internvl_2_5_8b,visual_risk_raw,risk_relative_vll,0,geo,risk_relative_vll_cost_geo,0.9036144578313253,0.9646302250803859,0.9331259720062208,0.8837837837837837,0.8878140498119788,32
internvl_2_5_8b,visual_risk_raw,risk_relative_vll,0,tbar,risk_relative_vll_cost_tbar,0.9101796407185628,0.977491961414791,0.9426356589147287,0.9,0.8816011771758678,32
internvl_2_5_8b,visual_risk_raw,risk_relative_vll,0,sbar,risk_relative_vll_cost_sbar,0.8985074626865671,0.9678456591639871,0.9318885448916409,0.8810810810810811,0.8577851654041092,32
internvl_2_5_8b,visual_risk_cap085,risk_relative_vll,1,geo,risk_relative_vll_cost_geo_capped_topmass_085,0.9029411764705882,0.9871382636655949,0.9431643625192012,0.9,0.8700474140280124,32
internvl_2_5_8b,visual_risk_cap085,risk_relative_vll,1,tbar,risk_relative_vll_cost_tbar_capped_topmass_085,0.9101796407185628,0.977491961414791,0.9426356589147287,0.9,0.8772412665540357,32
internvl_2_5_8b,visual_risk_cap085,risk_relative_vll,1,sbar,risk_relative_vll_cost_sbar_capped_topmass_085,0.8955223880597015,0.9646302250803859,0.9287925696594427,0.8756756756756757,0.8459589078423893,32
internvl_2_5_8b,vp_risk_raw,risk_visual_prompt_relative_vll,0,geo,risk_visual_prompt_relative_vll_cost_geo,0.9411764705882353,0.977491961414791,0.9589905362776026,0.9297297297297298,0.9307046705542537,32
internvl_2_5_8b,vp_risk_raw,risk_visual_prompt_relative_vll,0,tbar,risk_visual_prompt_relative_vll_cost_tbar,0.9320987654320988,0.9710610932475884,0.9511811023622048,0.9162162162162162,0.9429669191781569,32
