model,family,cost,feature_set,classifier,precision,recall,f1,accuracy,auc,num_features
qwen2_5_vl_7b,visual_combo_cap085,sbar,risk_relative_vll_cost_sbar_capped_topmass_085+target_visual_hidden_cosine_relative_vll_capped_topmass_085,mlp,0.8780487804878049,0.9411764705882353,0.9085173501577287,0.8599033816425121,0.924715565238441,56
qwen2_5_vl_7b,vp_combo_raw,geo,risk_visual_prompt_relative_vll_cost_geo+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll,xgb,0.9125,0.954248366013072,0.9329073482428115,0.8985507246376812,0.9457758412006778,56
qwen2_5_vl_7b,vp_combo_raw,geo,risk_visual_prompt_relative_vll_cost_geo+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll,mlp,0.9305555555555556,0.8758169934640523,0.9023569023569024,0.8599033816425121,0.9255628177196805,56
qwen2_5_vl_7b,vp_combo_raw,tbar,risk_visual_prompt_relative_vll_cost_tbar+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll,xgb,0.9074074074074074,0.9607843137254902,0.9333333333333333,0.8985507246376812,0.9462599854756718,56
qwen2_5_vl_7b,vp_combo_raw,tbar,risk_visual_prompt_relative_vll_cost_tbar+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll,mlp,0.910828025477707,0.934640522875817,0.9225806451612903,0.8840579710144928,0.9265311062696684,56
qwen2_5_vl_7b,vp_combo_raw,sbar,risk_visual_prompt_relative_vll_cost_sbar+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll,xgb,0.9074074074074074,0.9607843137254902,0.9333333333333333,0.8985507246376812,0.9265311062696684,56
qwen2_5_vl_7b,vp_combo_raw,sbar,risk_visual_prompt_relative_vll_cost_sbar+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll,mlp,0.861271676300578,0.9738562091503268,0.9141104294478528,0.8647342995169082,0.9400871459694989,56
qwen2_5_vl_7b,vp_combo_cap085,geo,risk_visual_prompt_relative_vll_cost_geo_capped_topmass_085+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll_capped_topmass_085,xgb,0.906832298136646,0.954248366013072,0.9299363057324841,0.893719806763285,0.9399661099007505,56
qwen2_5_vl_7b,vp_combo_cap085,geo,risk_visual_prompt_relative_vll_cost_geo_capped_topmass_085+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll_capped_topmass_085,mlp,0.8924050632911392,0.9215686274509803,0.9067524115755627,0.8599033816425121,0.9181796175260227,56
qwen2_5_vl_7b,vp_combo_cap085,tbar,risk_visual_prompt_relative_vll_cost_tbar_capped_topmass_085+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll_capped_topmass_085,xgb,0.9119496855345912,0.9477124183006536,0.9294871794871795,0.893719806763285,0.9471072379569111,56
qwen2_5_vl_7b,vp_combo_cap085,tbar,risk_visual_prompt_relative_vll_cost_tbar_capped_topmass_085+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll_capped_topmass_085,mlp,0.8841463414634146,0.9477124183006536,0.9148264984227129,0.8695652173913043,0.9206003389009925,56
qwen2_5_vl_7b,vp_combo_cap085,sbar,risk_visual_prompt_relative_vll_cost_sbar_capped_topmass_085+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll_capped_topmass_085,xgb,0.8802395209580839,0.9607843137254902,0.91875,0.8743961352657005,0.9221738077947228,56
qwen2_5_vl_7b,vp_combo_cap085,sbar,risk_visual_prompt_relative_vll_cost_sbar_capped_topmass_085+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll_capped_topmass_085,mlp,0.9090909090909091,0.9150326797385621,0.9120521172638436,0.8695652173913043,0.9350036310820625,56
internvl_2_5_8b,visual_risk_raw,geo,risk_relative_vll_cost_geo,xgb,0.9036144578313253,0.9646302250803859,0.9331259720062208,0.8837837837837837,0.8878140498119788,32
internvl_2_5_8b,visual_risk_raw,geo,risk_relative_vll_cost_geo,mlp,0.916923076923077,0.9581993569131833,0.9371069182389937,0.8918918918918919,0.8703199084418769,32
internvl_2_5_8b,visual_risk_raw,tbar,risk_relative_vll_cost_tbar,xgb,0.9101796407185628,0.977491961414791,0.9426356589147287,0.9,0.8816011771758678,32
internvl_2_5_8b,visual_risk_raw,tbar,risk_relative_vll_cost_tbar,mlp,0.933993399339934,0.909967845659164,0.9218241042345277,0.8702702702702703,0.8833996403073737,32
internvl_2_5_8b,visual_risk_raw,sbar,risk_relative_vll_cost_sbar,xgb,0.8985074626865671,0.9678456591639871,0.9318885448916409,0.8810810810810811,0.8577851654041092,32
internvl_2_5_8b,visual_risk_raw,sbar,risk_relative_vll_cost_sbar,mlp,0.926984126984127,0.9389067524115756,0.9329073482428115,0.8864864864864865,0.8845441168456047,32
internvl_2_5_8b,visual_risk_cap085,geo,risk_relative_vll_cost_geo_capped_topmass_085,xgb,0.9029411764705882,0.9871382636655949,0.9431643625192012,0.9,0.8700474140280124,32
internvl_2_5_8b,visual_risk_cap085,geo,risk_relative_vll_cost_geo_capped_topmass_085,mlp,0.9141104294478528,0.9581993569131833,0.9356357927786499,0.8891891891891892,0.8575126709902446,32
internvl_2_5_8b,visual_risk_cap085,tbar,risk_relative_vll_cost_tbar_capped_topmass_085,xgb,0.9101796407185628,0.977491961414791,0.9426356589147287,0.9,0.8772412665540357,32
internvl_2_5_8b,visual_risk_cap085,tbar,risk_relative_vll_cost_tbar_capped_topmass_085,mlp,0.9226006191950464,0.9581993569131833,0.9400630914826499,0.8972972972972973,0.8812196849964575,32
internvl_2_5_8b,visual_risk_cap085,sbar,risk_relative_vll_cost_sbar_capped_topmass_085,xgb,0.8955223880597015,0.9646302250803859,0.9287925696594427,0.8756756756756757,0.8459589078423893,32
internvl_2_5_8b,visual_risk_cap085,sbar,risk_relative_vll_cost_sbar_capped_topmass_085,mlp,0.9249146757679181,0.8713826366559485,0.8973509933774835,0.8324324324324325,0.8703744073246498,32
internvl_2_5_8b,vp_risk_raw,geo,risk_visual_prompt_relative_vll_cost_geo,xgb,0.9411764705882353,0.977491961414791,0.9589905362776026,0.9297297297297298,0.9307046705542537,32
internvl_2_5_8b,vp_risk_raw,geo,risk_visual_prompt_relative_vll_cost_geo,mlp,0.9323076923076923,0.9742765273311897,0.9528301886792453,0.918918918918919,0.92312932584882,32
internvl_2_5_8b,vp_risk_raw,tbar,risk_visual_prompt_relative_vll_cost_tbar,xgb,0.9320987654320988,0.9710610932475884,0.9511811023622048,0.9162162162162162,0.9429669191781569,32
internvl_2_5_8b,vp_risk_raw,tbar,risk_visual_prompt_relative_vll_cost_tbar,mlp,0.9423076923076923,0.9453376205787781,0.9438202247191011,0.9054054054054054,0.9246552945664614,32
internvl_2_5_8b,vp_risk_raw,sbar,risk_visual_prompt_relative_vll_cost_sbar,xgb,0.9129129129129129,0.977491961414791,0.9440993788819876,0.9027027027027027,0.9200228895307646,32
internvl_2_5_8b,vp_risk_raw,sbar,risk_visual_prompt_relative_vll_cost_sbar,mlp,0.9352750809061489,0.9292604501607717,0.932258064516129,0.8864864864864865,0.917570439805984,32
internvl_2_5_8b,vp_risk_cap085,geo,risk_visual_prompt_relative_vll_cost_geo_capped_topmass_085,xgb,0.9380804953560371,0.9742765273311897,0.9558359621451105,0.9243243243243243,0.9213853616000871,32
internvl_2_5_8b,vp_risk_cap085,geo,risk_visual_prompt_relative_vll_cost_geo_capped_topmass_085,mlp,0.9154078549848943,0.9742765273311897,0.9439252336448598,0.9027027027027027,0.9179519319853943,32
internvl_2_5_8b,vp_risk_cap085,tbar,risk_visual_prompt_relative_vll_cost_tbar_capped_topmass_085,xgb,0.9263803680981595,0.9710610932475884,0.9481946624803768,0.9108108108108108,0.9284157174777917,32
internvl_2_5_8b,vp_risk_cap085,tbar,risk_visual_prompt_relative_vll_cost_tbar_capped_topmass_085,mlp,0.9161490683229814,0.9485530546623794,0.9320695102685624,0.8837837837837837,0.9148999945501117,32
internvl_2_5_8b,vp_risk_cap085,sbar,risk_visual_prompt_relative_vll_cost_sbar_capped_topmass_085,xgb,0.9074626865671642,0.977491961414791,0.9411764705882353,0.8972972972972973,0.9255272766908279,32
internvl_2_5_8b,vp_risk_cap085,sbar,risk_visual_prompt_relative_vll_cost_sbar_capped_topmass_085,mlp,0.9099099099099099,0.9742765273311897,0.9409937888198758,0.8972972972972973,0.9187694152269877,32
internvl_2_5_8b,visual_combo_raw,geo,risk_relative_vll_cost_geo+target_visual_hidden_cosine_relative_vll,xgb,0.94375,0.9710610932475884,0.9572107765451664,0.927027027027027,0.9589895907133904,64
internvl_2_5_8b,visual_combo_raw,geo,risk_relative_vll_cost_geo+target_visual_hidden_cosine_relative_vll,mlp,0.9694915254237289,0.9196141479099679,0.9438943894389439,0.9081081081081082,0.9431304158264755,64
internvl_2_5_8b,visual_combo_raw,tbar,risk_relative_vll_cost_tbar+target_visual_hidden_cosine_relative_vll,xgb,0.9404388714733543,0.9646302250803859,0.9523809523809523,0.918918918918919,0.946836339855033,64
internvl_2_5_8b,visual_combo_raw,tbar,risk_relative_vll_cost_tbar+target_visual_hidden_cosine_relative_vll,mlp,0.9516129032258065,0.9485530546623794,0.9500805152979066,0.9162162162162162,0.9446018856613441,64
internvl_2_5_8b,visual_combo_raw,sbar,risk_relative_vll_cost_sbar+target_visual_hidden_cosine_relative_vll,xgb,0.9465408805031447,0.9678456591639871,0.9570747217806042,0.927027027027027,0.9410594582811053,64
internvl_2_5_8b,visual_combo_raw,sbar,risk_relative_vll_cost_sbar+target_visual_hidden_cosine_relative_vll,mlp,0.9430379746835443,0.9581993569131833,0.9505582137161085,0.9162162162162162,0.9497792795247697,64
internvl_2_5_8b,visual_combo_cap085,geo,risk_relative_vll_cost_geo_capped_topmass_085+target_visual_hidden_cosine_relative_vll_capped_topmass_085,xgb,0.940625,0.9678456591639871,0.9540412044374009,0.9216216216216216,0.9532672080222354,64
internvl_2_5_8b,visual_combo_cap085,geo,risk_relative_vll_cost_geo_capped_topmass_085+target_visual_hidden_cosine_relative_vll_capped_topmass_085,mlp,0.9118541033434651,0.9646302250803859,0.9375,0.8918918918918919,0.9299961850782059,64
internvl_2_5_8b,visual_combo_cap085,tbar,risk_relative_vll_cost_tbar_capped_topmass_085+target_visual_hidden_cosine_relative_vll_capped_topmass_085,xgb,0.9292307692307692,0.9710610932475884,0.949685534591195,0.9135135135135135,0.9509237560630007,64
internvl_2_5_8b,visual_combo_cap085,tbar,risk_relative_vll_cost_tbar_capped_topmass_085+target_visual_hidden_cosine_relative_vll_capped_topmass_085,mlp,0.9179331306990881,0.9710610932475884,0.94375,0.9027027027027027,0.9338111068723092,64
internvl_2_5_8b,visual_combo_cap085,sbar,risk_relative_vll_cost_sbar_capped_topmass_085+target_visual_hidden_cosine_relative_vll_capped_topmass_085,xgb,0.9259259259259259,0.9646302250803859,0.9448818897637795,0.9054054054054054,0.9463458499100768,64
internvl_2_5_8b,visual_combo_cap085,sbar,risk_relative_vll_cost_sbar_capped_topmass_085+target_visual_hidden_cosine_relative_vll_capped_topmass_085,mlp,0.9069069069069069,0.9710610932475884,0.937888198757764,0.8918918918918919,0.9262357621668755,64
internvl_2_5_8b,vp_combo_raw,geo,risk_visual_prompt_relative_vll_cost_geo+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll,xgb,0.946875,0.9742765273311897,0.9603803486529319,0.9324324324324325,0.9591530873617091,64
internvl_2_5_8b,vp_combo_raw,geo,risk_visual_prompt_relative_vll_cost_geo+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll,mlp,0.9347826086956522,0.9678456591639871,0.9510268562401264,0.9162162162162162,0.9399149817428742,64
internvl_2_5_8b,vp_combo_raw,tbar,risk_visual_prompt_relative_vll_cost_tbar+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll,xgb,0.9463722397476341,0.9646302250803859,0.9554140127388535,0.9243243243243243,0.959752575072211,64
internvl_2_5_8b,vp_combo_raw,tbar,risk_visual_prompt_relative_vll_cost_tbar+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll,mlp,0.9287925696594427,0.9646302250803859,0.9463722397476341,0.9081081081081082,0.9396969862117827,64
internvl_2_5_8b,vp_combo_raw,sbar,risk_visual_prompt_relative_vll_cost_sbar+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll,xgb,0.9320987654320988,0.9710610932475884,0.9511811023622048,0.9162162162162162,0.9461823532617583,64
internvl_2_5_8b,vp_combo_raw,sbar,risk_visual_prompt_relative_vll_cost_sbar+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll,mlp,0.9298780487804879,0.9807073954983923,0.9546165884194053,0.9216216216216216,0.9399694806256471,64
internvl_2_5_8b,vp_combo_cap085,geo,risk_visual_prompt_relative_vll_cost_geo_capped_topmass_085+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll_capped_topmass_085,xgb,0.9528301886792453,0.9742765273311897,0.9634340222575517,0.9378378378378378,0.9468908387378059,64
internvl_2_5_8b,vp_combo_cap085,geo,risk_visual_prompt_relative_vll_cost_geo_capped_topmass_085+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll_capped_topmass_085,mlp,0.9296636085626911,0.977491961414791,0.9529780564263323,0.918918918918919,0.9408959616327864,64
internvl_2_5_8b,vp_combo_cap085,tbar,risk_visual_prompt_relative_vll_cost_tbar_capped_topmass_085+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll_capped_topmass_085,xgb,0.9404388714733543,0.9646302250803859,0.9523809523809523,0.918918918918919,0.9525587225461878,64
internvl_2_5_8b,vp_combo_cap085,tbar,risk_visual_prompt_relative_vll_cost_tbar_capped_topmass_085+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll_capped_topmass_085,mlp,0.9118541033434651,0.9646302250803859,0.9375,0.8918918918918919,0.9380620197285955,64
internvl_2_5_8b,vp_combo_cap085,sbar,risk_visual_prompt_relative_vll_cost_sbar_capped_topmass_085+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll_capped_topmass_085,xgb,0.94375,0.9710610932475884,0.9572107765451664,0.927027027027027,0.9398059839773284,64
internvl_2_5_8b,vp_combo_cap085,sbar,risk_visual_prompt_relative_vll_cost_sbar_capped_topmass_085+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll_capped_topmass_085,mlp,0.926829268292683,0.977491961414791,0.9514866979655712,0.9162162162162162,0.9376260286664123,64
llava_1_5_7b,visual_risk_raw,geo,risk_relative_vll_cost_geo,xgb,0.7162162162162162,0.7794117647058824,0.7464788732394366,0.7482517482517482,0.8176470588235294,32
llava_1_5_7b,visual_risk_raw,geo,risk_relative_vll_cost_geo,mlp,0.6716417910447762,0.6617647058823529,0.6666666666666666,0.6853146853146853,0.7682352941176471,32
llava_1_5_7b,visual_risk_raw,tbar,risk_relative_vll_cost_tbar,xgb,0.704225352112676,0.7352941176470589,0.7194244604316546,0.7272727272727273,0.8154901960784314,32
llava_1_5_7b,visual_risk_raw,tbar,risk_relative_vll_cost_tbar,mlp,0.6538461538461539,0.75,0.6986301369863014,0.6923076923076923,0.7733333333333334,32
llava_1_5_7b,visual_risk_raw,sbar,risk_relative_vll_cost_sbar,xgb,0.6986301369863014,0.75,0.723404255319149,0.7272727272727273,0.7919607843137255,32
llava_1_5_7b,visual_risk_raw,sbar,risk_relative_vll_cost_sbar,mlp,0.6582278481012658,0.7647058823529411,0.7074829931972789,0.6993006993006993,0.7860784313725491,32
llava_1_5_7b,visual_risk_cap085,geo,risk_relative_vll_cost_geo_capped_topmass_085,xgb,0.68,0.75,0.7132867132867133,0.7132867132867133,0.7705882352941175,32
llava_1_5_7b,visual_risk_cap085,geo,risk_relative_vll_cost_geo_capped_topmass_085,mlp,0.6666666666666666,0.7058823529411765,0.6857142857142857,0.6923076923076923,0.7766666666666667,32
llava_1_5_7b,visual_risk_cap085,tbar,risk_relative_vll_cost_tbar_capped_topmass_085,xgb,0.7066666666666667,0.7794117647058824,0.7412587412587412,0.7412587412587412,0.8194117647058823,32
llava_1_5_7b,visual_risk_cap085,tbar,risk_relative_vll_cost_tbar_capped_topmass_085,mlp,0.7096774193548387,0.6470588235294118,0.676923076923077,0.7062937062937062,0.7735294117647058,32
llava_1_5_7b,visual_risk_cap085,sbar,risk_relative_vll_cost_sbar_capped_topmass_085,xgb,0.6764705882352942,0.6764705882352942,0.6764705882352942,0.6923076923076923,0.8064705882352942,32
llava_1_5_7b,visual_risk_cap085,sbar,risk_relative_vll_cost_sbar_capped_topmass_085,mlp,0.7183098591549296,0.75,0.7338129496402878,0.7412587412587412,0.7837254901960785,32
llava_1_5_7b,vp_risk_raw,geo,risk_visual_prompt_relative_vll_cost_geo,xgb,0.7272727272727273,0.7058823529411765,0.7164179104477612,0.7342657342657343,0.775686274509804,32
llava_1_5_7b,vp_risk_raw,geo,risk_visual_prompt_relative_vll_cost_geo,mlp,0.6857142857142857,0.7058823529411765,0.6956521739130435,0.7062937062937062,0.7988235294117646,32
llava_1_5_7b,vp_risk_raw,tbar,risk_visual_prompt_relative_vll_cost_tbar,xgb,0.7272727272727273,0.7058823529411765,0.7164179104477612,0.7342657342657343,0.7903921568627451,32
llava_1_5_7b,vp_risk_raw,tbar,risk_visual_prompt_relative_vll_cost_tbar,mlp,0.7101449275362319,0.7205882352941176,0.7153284671532847,0.7272727272727273,0.7947058823529413,32
llava_1_5_7b,vp_risk_raw,sbar,risk_visual_prompt_relative_vll_cost_sbar,xgb,0.6818181818181818,0.6617647058823529,0.6716417910447762,0.6923076923076923,0.7947058823529412,32
llava_1_5_7b,vp_risk_raw,sbar,risk_visual_prompt_relative_vll_cost_sbar,mlp,0.6351351351351351,0.6911764705882353,0.6619718309859155,0.6643356643356644,0.7337254901960786,32
llava_1_5_7b,vp_risk_cap085,geo,risk_visual_prompt_relative_vll_cost_geo_capped_topmass_085,xgb,0.6710526315789473,0.75,0.7083333333333334,0.7062937062937062,0.7954901960784314,32
llava_1_5_7b,vp_risk_cap085,geo,risk_visual_prompt_relative_vll_cost_geo_capped_topmass_085,mlp,0.6575342465753424,0.7058823529411765,0.6808510638297872,0.6853146853146853,0.7692156862745098,32
llava_1_5_7b,vp_risk_cap085,tbar,risk_visual_prompt_relative_vll_cost_tbar_capped_topmass_085,xgb,0.72,0.7941176470588235,0.7552447552447552,0.7552447552447552,0.7994117647058823,32
llava_1_5_7b,vp_risk_cap085,tbar,risk_visual_prompt_relative_vll_cost_tbar_capped_topmass_085,mlp,0.6710526315789473,0.75,0.7083333333333334,0.7062937062937062,0.788235294117647,32
llava_1_5_7b,vp_risk_cap085,sbar,risk_visual_prompt_relative_vll_cost_sbar_capped_topmass_085,xgb,0.7735849056603774,0.6029411764705882,0.6776859504132231,0.7272727272727273,0.7894117647058823,32
llava_1_5_7b,vp_risk_cap085,sbar,risk_visual_prompt_relative_vll_cost_sbar_capped_topmass_085,mlp,0.746031746031746,0.6911764705882353,0.7175572519083969,0.7412587412587412,0.7766666666666666,32
llava_1_5_7b,visual_combo_raw,geo,risk_relative_vll_cost_geo+target_visual_hidden_cosine_relative_vll,xgb,0.7205882352941176,0.7205882352941176,0.7205882352941176,0.7342657342657343,0.8296078431372549,64
llava_1_5_7b,visual_combo_raw,geo,risk_relative_vll_cost_geo+target_visual_hidden_cosine_relative_vll,mlp,0.7108433734939759,0.8676470588235294,0.7814569536423841,0.7692307692307693,0.8462745098039216,64
llava_1_5_7b,visual_combo_raw,tbar,risk_relative_vll_cost_tbar+target_visual_hidden_cosine_relative_vll,xgb,0.7605633802816901,0.7941176470588235,0.7769784172661871,0.7832167832167832,0.8525490196078431,64
llava_1_5_7b,visual_combo_raw,tbar,risk_relative_vll_cost_tbar+target_visual_hidden_cosine_relative_vll,mlp,0.734375,0.6911764705882353,0.7121212121212122,0.7342657342657343,0.8311764705882353,64
llava_1_5_7b,visual_combo_raw,sbar,risk_relative_vll_cost_sbar+target_visual_hidden_cosine_relative_vll,xgb,0.7397260273972602,0.7941176470588235,0.7659574468085106,0.7692307692307693,0.8409803921568627,64
llava_1_5_7b,visual_combo_raw,sbar,risk_relative_vll_cost_sbar+target_visual_hidden_cosine_relative_vll,mlp,0.7012987012987013,0.7941176470588235,0.7448275862068966,0.7412587412587412,0.8284313725490197,64
llava_1_5_7b,visual_combo_cap085,geo,risk_relative_vll_cost_geo_capped_topmass_085+target_visual_hidden_cosine_relative_vll_capped_topmass_085,xgb,0.704225352112676,0.7352941176470589,0.7194244604316546,0.7272727272727273,0.799607843137255,64
