model,family,cost,feature_set,classifier,precision,recall,f1,accuracy,auc,num_features
qwen2_5_vl_7b,visual_risk_raw,geo,risk_relative_vll_cost_geo,xgb,0.8827160493827161,0.934640522875817,0.9079365079365079,0.8599033816425121,0.8921568627450981,28
qwen2_5_vl_7b,visual_risk_raw,geo,risk_relative_vll_cost_geo,mlp,0.8980891719745223,0.9215686274509803,0.9096774193548387,0.8647342995169082,0.8869523117889131,28
qwen2_5_vl_7b,visual_risk_raw,tbar,risk_relative_vll_cost_tbar,xgb,0.8924050632911392,0.9215686274509803,0.9067524115755627,0.8599033816425121,0.8953038005325586,28
qwen2_5_vl_7b,visual_risk_raw,tbar,risk_relative_vll_cost_tbar,mlp,0.8954248366013072,0.8954248366013072,0.8954248366013072,0.8454106280193237,0.8967562333575406,28
qwen2_5_vl_7b,visual_risk_raw,sbar,risk_relative_vll_cost_sbar,xgb,0.8571428571428571,0.9411764705882353,0.897196261682243,0.8405797101449275,0.8704914064391188,28
qwen2_5_vl_7b,visual_risk_raw,sbar,risk_relative_vll_cost_sbar,mlp,0.8742138364779874,0.9084967320261438,0.8910256410256411,0.8357487922705314,0.8709755507141128,28
qwen2_5_vl_7b,visual_risk_cap085,geo,risk_relative_vll_cost_geo_capped_topmass_085,xgb,0.8773006134969326,0.934640522875817,0.9050632911392406,0.855072463768116,0.8976034858387799,28
qwen2_5_vl_7b,visual_risk_cap085,geo,risk_relative_vll_cost_geo_capped_topmass_085,mlp,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8357487922705314,0.9105543451948681,28
qwen2_5_vl_7b,visual_risk_cap085,tbar,risk_relative_vll_cost_tbar_capped_topmass_085,xgb,0.8727272727272727,0.9411764705882353,0.9056603773584906,0.855072463768116,0.8662551440329217,28
qwen2_5_vl_7b,visual_risk_cap085,tbar,risk_relative_vll_cost_tbar_capped_topmass_085,mlp,0.875,0.9150326797385621,0.8945686900958466,0.8405797101449275,0.90559186637618,28
qwen2_5_vl_7b,visual_risk_cap085,sbar,risk_relative_vll_cost_sbar_capped_topmass_085,xgb,0.8505747126436781,0.9673202614379085,0.9051987767584098,0.8502415458937198,0.8597191963205034,28
qwen2_5_vl_7b,visual_risk_cap085,sbar,risk_relative_vll_cost_sbar_capped_topmass_085,mlp,0.8606060606060606,0.9281045751633987,0.8930817610062893,0.8357487922705314,0.888404744613895,28
qwen2_5_vl_7b,vp_risk_raw,geo,risk_visual_prompt_relative_vll_cost_geo,xgb,0.9215686274509803,0.9215686274509803,0.9215686274509803,0.8840579710144928,0.9264100702009199,28
qwen2_5_vl_7b,vp_risk_raw,geo,risk_visual_prompt_relative_vll_cost_geo,mlp,0.88125,0.9215686274509803,0.9009584664536742,0.8502415458937198,0.8865892035826677,28
qwen2_5_vl_7b,vp_risk_raw,tbar,risk_visual_prompt_relative_vll_cost_tbar,xgb,0.9205298013245033,0.9084967320261438,0.9144736842105263,0.8743961352657005,0.9216896635197289,28
qwen2_5_vl_7b,vp_risk_raw,tbar,risk_visual_prompt_relative_vll_cost_tbar,mlp,0.8930817610062893,0.9281045751633987,0.9102564102564102,0.8647342995169082,0.8712176228516099,28
qwen2_5_vl_7b,vp_risk_raw,sbar,risk_visual_prompt_relative_vll_cost_sbar,xgb,0.8588235294117647,0.954248366013072,0.9040247678018576,0.8502415458937198,0.8813846526264828,28
qwen2_5_vl_7b,vp_risk_raw,sbar,risk_visual_prompt_relative_vll_cost_sbar,mlp,0.8545454545454545,0.9215686274509803,0.8867924528301887,0.8260869565217391,0.8752118131203098,28
qwen2_5_vl_7b,vp_risk_cap085,geo,risk_visual_prompt_relative_vll_cost_geo_capped_topmass_085,xgb,0.9006211180124224,0.9477124183006536,0.9235668789808917,0.8840579710144928,0.9158799322198015,28
qwen2_5_vl_7b,vp_risk_cap085,geo,risk_visual_prompt_relative_vll_cost_geo_capped_topmass_085,mlp,0.8727272727272727,0.9411764705882353,0.9056603773584906,0.855072463768116,0.8779956427015251,28
qwen2_5_vl_7b,vp_risk_cap085,tbar,risk_visual_prompt_relative_vll_cost_tbar_capped_topmass_085,xgb,0.8944099378881988,0.9411764705882353,0.9171974522292994,0.8743961352657005,0.9236262406197047,28
qwen2_5_vl_7b,vp_risk_cap085,tbar,risk_visual_prompt_relative_vll_cost_tbar_capped_topmass_085,mlp,0.9078947368421053,0.9019607843137255,0.9049180327868852,0.8599033816425121,0.8893730331638828,28
qwen2_5_vl_7b,vp_risk_cap085,sbar,risk_visual_prompt_relative_vll_cost_sbar_capped_topmass_085,xgb,0.8390804597701149,0.954248366013072,0.8929663608562691,0.8309178743961353,0.8877995642701525,28
qwen2_5_vl_7b,vp_risk_cap085,sbar,risk_visual_prompt_relative_vll_cost_sbar_capped_topmass_085,mlp,0.85625,0.8954248366013072,0.8753993610223643,0.8115942028985508,0.8813846526264827,28
qwen2_5_vl_7b,visual_combo_raw,geo,risk_relative_vll_cost_geo+target_visual_hidden_cosine_relative_vll,xgb,0.9079754601226994,0.9673202614379085,0.9367088607594937,0.9033816425120773,0.9325829097070927,56
qwen2_5_vl_7b,visual_combo_raw,geo,risk_relative_vll_cost_geo+target_visual_hidden_cosine_relative_vll,mlp,0.8596491228070176,0.9607843137254902,0.9074074074074074,0.855072463768116,0.9264100702009198,56
qwen2_5_vl_7b,visual_combo_raw,tbar,risk_relative_vll_cost_tbar+target_visual_hidden_cosine_relative_vll,xgb,0.91875,0.9607843137254902,0.939297124600639,0.9082125603864735,0.938876785282014,56
qwen2_5_vl_7b,visual_combo_raw,tbar,risk_relative_vll_cost_tbar+target_visual_hidden_cosine_relative_vll,mlp,0.89375,0.934640522875817,0.9137380191693291,0.8695652173913043,0.9323408375695957,56
qwen2_5_vl_7b,visual_combo_raw,sbar,risk_relative_vll_cost_sbar+target_visual_hidden_cosine_relative_vll,xgb,0.8944099378881988,0.9411764705882353,0.9171974522292994,0.8743961352657005,0.9172113289760349,56
qwen2_5_vl_7b,visual_combo_raw,sbar,risk_relative_vll_cost_sbar+target_visual_hidden_cosine_relative_vll,mlp,0.8827160493827161,0.934640522875817,0.9079365079365079,0.8599033816425121,0.926167998063423,56
qwen2_5_vl_7b,visual_combo_cap085,geo,risk_relative_vll_cost_geo_capped_topmass_085+target_visual_hidden_cosine_relative_vll_capped_topmass_085,xgb,0.9012345679012346,0.954248366013072,0.926984126984127,0.8888888888888888,0.9253207455821835,56
qwen2_5_vl_7b,visual_combo_cap085,geo,risk_relative_vll_cost_geo_capped_topmass_085+target_visual_hidden_cosine_relative_vll_capped_topmass_085,mlp,0.9,0.9411764705882353,0.9201277955271565,0.8792270531400966,0.9220527717259743,56
qwen2_5_vl_7b,visual_combo_cap085,tbar,risk_relative_vll_cost_tbar_capped_topmass_085+target_visual_hidden_cosine_relative_vll_capped_topmass_085,xgb,0.8950617283950617,0.9477124183006536,0.9206349206349206,0.8792270531400966,0.9158799322198016,56
qwen2_5_vl_7b,visual_combo_cap085,tbar,risk_relative_vll_cost_tbar_capped_topmass_085+target_visual_hidden_cosine_relative_vll_capped_topmass_085,mlp,0.874251497005988,0.954248366013072,0.9125,0.8647342995169082,0.9260469619946744,56
qwen2_5_vl_7b,visual_combo_cap085,sbar,risk_relative_vll_cost_sbar_capped_topmass_085+target_visual_hidden_cosine_relative_vll_capped_topmass_085,xgb,0.8888888888888888,0.9411764705882353,0.9142857142857143,0.8695652173913043,0.9123698862260955,56
