model,classifier,best_family,best_cost,best_feature_set,precision,recall,f1,accuracy,auc
qwen2_5_vl_7b,xgb,vp_combo_cap085,tbar,risk_visual_prompt_relative_vll_cost_tbar_capped_topmass_085+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll_capped_topmass_085,0.9119496855345912,0.9477124183006536,0.9294871794871795,0.893719806763285,0.9471072379569111
qwen2_5_vl_7b,mlp,vp_combo_raw,sbar,risk_visual_prompt_relative_vll_cost_sbar+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll,0.861271676300578,0.9738562091503268,0.9141104294478528,0.8647342995169082,0.9400871459694989
internvl_2_5_8b,xgb,vp_combo_raw,tbar,risk_visual_prompt_relative_vll_cost_tbar+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll,0.9463722397476341,0.9646302250803859,0.9554140127388535,0.9243243243243243,0.959752575072211
internvl_2_5_8b,mlp,visual_combo_raw,sbar,risk_relative_vll_cost_sbar+target_visual_hidden_cosine_relative_vll,0.9430379746835443,0.9581993569131833,0.9505582137161085,0.9162162162162162,0.9497792795247697
llava_1_5_7b,xgb,visual_combo_raw,tbar,risk_relative_vll_cost_tbar+target_visual_hidden_cosine_relative_vll,0.7605633802816901,0.7941176470588235,0.7769784172661871,0.7832167832167832,0.8525490196078431
llava_1_5_7b,mlp,vp_combo_cap085,sbar,risk_visual_prompt_relative_vll_cost_sbar_capped_topmass_085+target_visual_prompt_hidden_cosine_visual_prompt_relative_vll_capped_topmass_085,0.6818181818181818,0.8823529411764706,0.7692307692307693,0.7482517482517482,0.852156862745098
